08:11:96:ef:0c:ac,-12,1449711509.4720049
a0:88:b4:ba:0e:fc,-21,1449711509.4720049
08:11:96:ef:0c:ac,-15,1449711511.1968851
a0:88:b4:ba:0e:fc,-24,1449711511.1968851
08:11:96:ef:0c:ac,-18,1449711512.9581571
a0:88:b4:ba:0e:fc,-27,1449711512.9581571
08:11:96:ef:0c:ac,-18,1449711514.7070341
a0:88:b4:ba:0e:fc,-26,1449711514.7070341
08:11:96:ef:0c:ac,-18,1449711516.4570961
a0:88:b4:ba:0e:fc,-27,1449711516.4570961
08:11:96:ef:0c:ac,-17,1449711518.209698
a0:88:b4:ba:0e:fc,-31,1449711518.209698
08:11:96:ef:0c:ac,-15,1449711519.9354601
a0:88:b4:ba:0e:fc,-33,1449711519.9354601
08:11:96:ef:0c:ac,-13,1449711521.677624
a0:88:b4:ba:0e:fc,-30,1449711521.677624
08:11:96:ef:0c:ac,-14,1449711523.42502
a0:88:b4:ba:0e:fc,-27,1449711523.42502
08:11:96:ef:0c:ac,-12,1449711525.1847939
a0:88:b4:ba:0e:fc,-35,1449711525.1847939
08:11:96:ef:0c:ac,-12,1449711526.916822
a0:88:b4:ba:0e:fc,-26,1449711526.916822
08:11:96:ef:0c:ac,-14,1449711528.6562631
a0:88:b4:ba:0e:fc,-35,1449711528.6562631
08:11:96:ef:0c:ac,-13,1449711530.3957629
a0:88:b4:ba:0e:fc,-38,1449711530.3957629
08:11:96:ef:0c:ac,-14,1449711532.147089
a0:88:b4:ba:0e:fc,-36,1449711532.147089
08:11:96:ef:0c:ac,-13,1449711533.9159491
a0:88:b4:ba:0e:fc,-36,1449711533.9159491
08:11:96:ef:0c:ac,-13,1449711535.66032
a0:88:b4:ba:0e:fc,-36,1449711535.66032
08:11:96:ef:0c:ac,-14,1449711537.4194989
a0:88:b4:ba:0e:fc,-37,1449711537.4194989
08:11:96:ef:0c:ac,-14,1449711539.165951
a0:88:b4:ba:0e:fc,-36,1449711539.165951
08:11:96:ef:0c:ac,-14,1449711540.9052651
a0:88:b4:ba:0e:fc,-37,1449711540.9052651
